station,area_park,len_cycle_path,len_major_road,len_minor_road,num_metro_stations,num_other_commercial,num_restuarants,num_university,num_pop,num_bus_stations,num_bus_routes,walkscore,capacity
10002 - Métro Charlevoix (Centre / Charlevoix),0.030392106563366446,0.4484059999209598,0.22621263593324414,0.719710612643138,0.25,0.16883116883116883,0.10810810810810811,0.0,0.4454923953639381,0.42857142857142855,0.19230769230769232,0.7391304347826086,0.0851063829787234
4000 - Jeanne-d'Arc / Ontario,0.0,0.1627236548523069,0.1942723482099765,0.5361474221073064,0.0,0.23376623376623376,0.2702702702702703,0.0,0.40797396145912607,0.32142857142857145,0.15384615384615385,0.8260869565217391,0.0851063829787234
4001 - Graham / Brookfield,0.0,0.4217012807253343,0.860163766000929,0.6536109663576216,0.0,0.06493506493506493,0.05405405405405406,0.0,0.24276506542932816,0.5357142857142857,0.23076923076923078,0.717391304347826,0.1276595744680851
4002 - Graham / Wicksteed,0.042366701292663705,0.6563450134774085,0.6254298069538753,0.6180759744626885,0.0,0.025974025974025976,0.02702702702702703,0.0,0.3076399608757549,0.17857142857142858,0.19230769230769232,0.7608695652173914,0.0851063829787234
5006 - Collège Édouard-Montpetit (de Gentilly / de Normandie),0.0,0.0,0.5209652878079621,0.26160917467761774,0.0,0.03896103896103896,0.08108108108108109,0.0,0.15097649394163215,0.0,0.0,0.6304347826086957,0.1702127659574468
5007 - Métro Longueuil - Université de Sherbrooke,0.0,0.0,0.5796498391922431,0.4216423144030002,0.5,0.025974025974025976,0.05405405405405406,0.0,0.027103093911258248,0.03571428571428571,0.038461538461538464,0.6195652173913043,0.0
6001 - Métro Champ-de-Mars (Viger / Sanguinet),0.05352296816144854,0.2786178644139005,0.5704527505008333,0.49948310329469325,0.25,0.025974025974025976,0.02702702702702703,0.0,0.13281519491391783,0.10714285714285714,0.07692307692307693,0.9456521739130435,0.2127659574468085
6002 - Ste-Catherine / Dezery,0.16371008116743488,0.7795429968577205,0.28634613124439284,0.9376041213842811,0.0,0.16883116883116883,0.08108108108108109,0.0,0.4510320101584685,0.25,0.15384615384615385,0.6521739130434783,0.0851063829787234
6003 - Clark / Evans,0.0,0.229224552471596,0.1726364828152876,0.38253765050037575,0.0,0.22077922077922077,0.08108108108108109,0.0,0.1470453092544302,0.21428571428571427,0.15384615384615385,0.9565217391304348,0.0851063829787234
6004 - du Champ-de-Mars / Gosford,0.008983421736474574,0.21826665260441092,0.14516765241643279,0.40562809780879566,0.25,0.19480519480519481,0.2702702702702703,0.0,0.1590645720027727,0.17857142857142858,0.15384615384615385,0.8913043478260869,0.1276595744680851
