time,humidity,max_temp,Mean Temp (°C),Total Precip (mm),holiday
2019-04-15,0.867811799850635,0.0,0.0,0.027823240589198033,0.0
2019-04-16,0.40179238237490666,0.14181818181818182,0.07024793388429752,0.0,0.0
2019-04-17,0.19193427931292004,0.2836363636363637,0.08677685950413225,0.0,0.0
2019-04-18,0.4697535474234503,0.3709090909090909,0.28512396694214875,0.0,0.0
2019-04-19,0.9350261389096342,0.2654545454545455,0.19834710743801653,0.5008183306055647,1.0
2019-04-20,0.8984316654219567,0.06909090909090912,0.07851239669421488,0.18330605564648117,0.0
2019-04-21,0.766990291262136,0.3745454545454546,0.2314049586776859,0.0,0.0
2019-04-22,0.34279312920089616,0.4727272727272728,0.31404958677685946,0.0,1.0
2019-04-23,0.34428678117998507,0.4218181818181818,0.3181818181818182,0.03764320785597381,0.0
2019-04-24,0.8454070201643018,0.0981818181818182,0.11157024793388429,0.10638297872340426,0.0
2019-04-25,0.6213592233009709,0.20363636363636367,0.16942148760330575,0.0,0.0
2019-04-26,0.8379387602688575,0.18909090909090912,0.16115702479338842,0.3518821603927987,0.0
2019-04-27,0.7408513816280807,0.06545454545454546,0.05371900826446283,0.15057283142389524,0.0
2019-04-28,0.3577296489917849,0.17090909090909093,0.07438016528925621,0.0,0.0
2019-04-29,0.11575802837938755,0.13454545454545458,0.016528925619834725,0.0,0.0
2019-04-30,0.0679611650485437,0.30909090909090914,0.23553719008264465,0.0,0.0
2019-05-01,0.2180731889469753,0.10181818181818182,0.057851239669421496,0.09492635024549918,0.0
2019-05-02,0.7296489917849142,0.15636363636363637,0.09090909090909091,0.0032733224222585926,0.0
2019-05-03,0.9402539208364451,0.1854545454545455,0.21074380165289253,0.05073649754500818,0.0
2019-05-04,0.414488424197162,0.3927272727272728,0.31404958677685946,0.0032733224222585926,0.0
2019-05-05,0.2763256161314413,0.5272727272727273,0.3264462809917355,0.0,0.0
2019-05-06,0.2905153099327856,0.6327272727272728,0.49586776859504134,0.0,0.0
2019-05-07,0.3547423450336071,0.4581818181818182,0.3181818181818182,0.0,0.0
2019-05-08,0.11949215832710973,0.30909090909090914,0.1322314049586777,0.0,0.0
2019-05-09,0.2210604929051531,0.4072727272727273,0.26859504132231404,0.19967266775777412,0.0
2019-05-10,0.8588498879761015,0.4181818181818182,0.371900826446281,0.40589198036006546,0.0
2019-05-11,0.36818521284540706,0.29090909090909095,0.2314049586776859,0.0,0.0
2019-05-12,0.13218820014936516,0.4036363636363636,0.30165289256198347,0.0,0.0
2019-05-13,0.3181478715459298,0.3709090909090909,0.2975206611570248,0.049099836333878884,0.0
2019-05-14,0.765496639283047,0.11272727272727276,0.12396694214876032,0.13584288052373159,0.0
2019-05-15,0.5041075429424944,0.33818181818181825,0.25619834710743805,0.0,0.0
2019-05-16,0.4421209858103061,0.3818181818181819,0.3181818181818182,0.0,0.0
2019-05-17,0.7729648991784914,0.3272727272727273,0.3181818181818182,0.004909983633387889,0.0
2019-05-18,0.5145631067961165,0.3490909090909092,0.32231404958677684,0.0032733224222585926,0.0
2019-05-19,0.7266616878267365,0.46181818181818185,0.42975206611570244,0.18166939443535188,0.0
2019-05-20,0.6310679611650485,0.6363636363636365,0.5041322314049587,0.0,1.0
2019-05-21,0.42494398805078415,0.3890909090909091,0.32231404958677684,0.0032733224222585926,0.0
2019-05-22,0.28230022404779687,0.4945454545454545,0.35123966942148754,0.0032733224222585926,0.0
2019-05-23,0.5541448842419717,0.5636363636363637,0.5247933884297521,0.2602291325695581,0.0
2019-05-24,0.7371172516803586,0.41454545454545455,0.4049586776859504,0.022913256955810146,0.0
2019-05-25,0.6280806572068708,0.5490909090909091,0.47107438016528924,0.006546644844517185,0.0
2019-05-26,0.5130694548170277,0.68,0.5826446280991735,0.009819967266775777,0.0
2019-05-27,0.3808812546676624,0.4181818181818182,0.371900826446281,0.0,0.0
2019-05-28,0.6938013442867812,0.2654545454545455,0.25619834710743805,0.02618657937806874,0.0
2019-05-29,0.6221060492905154,0.38545454545454555,0.33471074380165283,0.0032733224222585926,0.0
2019-05-30,0.5526512322628827,0.6036363636363636,0.5165289256198348,0.0,0.0
2019-05-31,0.3502613890963405,0.36727272727272736,0.31404958677685946,0.0,0.0
2019-06-01,0.30843913368185216,0.4836363636363637,0.4214876033057851,0.0,0.0
2019-06-02,0.813293502613891,0.4581818181818182,0.44628099173553715,0.10965630114566285,0.0
2019-06-03,0.5556385362210605,0.26181818181818184,0.24793388429752064,0.0,0.0
2019-06-04,0.4660194174757281,0.4472727272727274,0.3429752066115702,0.0,0.0
2019-06-05,0.6310679611650485,0.43272727272727274,0.384297520661157,0.0,0.0
2019-06-06,0.2531740104555638,0.6545454545454547,0.5330578512396694,0.0,0.0
2019-06-07,0.24943988050784166,0.7381818181818183,0.5413223140495868,0.0,0.0
2019-06-08,0.09185959671396568,0.650909090909091,0.5082644628099172,0.0,0.0
2019-06-09,0.0,0.8945454545454545,0.7231404958677685,0.0,0.0
2019-06-10,0.21657953696788643,0.8981818181818183,0.8016528925619834,0.06546644844517185,0.0
2019-06-11,0.6109036594473488,0.4872727272727273,0.4338842975206611,0.3322422258592471,0.0
2019-06-12,0.3114264376400298,0.690909090909091,0.5289256198347106,0.0,0.0
2019-06-13,0.4510828976848394,0.5018181818181819,0.5165289256198348,0.01309328968903437,0.0
2019-06-14,0.7923823749066466,0.4254545454545455,0.45867768595041314,0.09492635024549918,0.0
2019-06-15,0.6923076923076924,0.5527272727272727,0.5454545454545454,0.09001636661211129,0.0
